year,factor,percentage,order,angle,x,y,label_x,label_y,row_type
2021,Convenience,76,1,0.0,0.0,76.0,0.0,87.0,point
2021,Lower prices,45,2,1.0471975511965976,38.97114317029974,22.500000000000004,75.34421012924616,43.50000000000001,point
2021,Free delivery,50,3,2.0943951023931953,43.30127018922194,-24.99999999999999,75.34421012924616,-43.49999999999998,point
2021,Discounts,37,4,3.141592653589793,4.531193156845207e-15,-37.0,1.0654427152581974e-14,-87.0,point
2021,Price comparison,30,5,4.1887902047863905,-25.980762113533153,-15.000000000000014,-75.34421012924614,-43.500000000000036,point
2021,Fast shipping,26,6,5.235987755982989,-22.516660498395403,13.000000000000004,-75.34421012924616,43.50000000000001,point
2021,Convenience,76,7,6.283185307179586,0.0,76.0,0.0,87.0,close
2022,Convenience,77,1,0.0,0.0,77.0,0.0,87.0,point
2022,Lower prices,46,2,1.0471975511965976,39.837168574084174,23.000000000000004,75.34421012924616,43.50000000000001,point
2022,Free delivery,48,3,2.0943951023931953,41.569219381653056,-23.99999999999999,75.34421012924616,-43.49999999999998,point
2022,Discounts,34,4,3.141592653589793,4.1637991171010006e-15,-34.0,1.0654427152581974e-14,-87.0,point
2022,Price comparison,29,5,4.1887902047863905,-25.114736709748712,-14.500000000000012,-75.34421012924614,-43.500000000000036,point
2022,Fast shipping,21,6,5.235987755982989,-18.186533479473212,10.500000000000002,-75.34421012924616,43.50000000000001,point
2022,Convenience,77,7,6.283185307179586,0.0,77.0,0.0,87.0,close
2023,Convenience,67,1,0.0,0.0,67.0,0.0,87.0,point
2023,Lower prices,48,2,1.0471975511965976,41.569219381653056,24.000000000000007,75.34421012924616,43.50000000000001,point
2023,Free delivery,46,3,2.0943951023931953,39.83716857408418,-22.99999999999999,75.34421012924616,-43.49999999999998,point
2023,Discounts,44,4,3.141592653589793,5.3884459162483544e-15,-44.0,1.0654427152581974e-14,-87.0,point
2023,Price comparison,37,5,4.1887902047863905,-32.04293994002422,-18.500000000000018,-75.34421012924614,-43.500000000000036,point
2023,Fast shipping,27,6,5.235987755982989,-23.38268590217984,13.500000000000004,-75.34421012924616,43.50000000000001,point
2023,Convenience,67,7,6.283185307179586,0.0,67.0,0.0,87.0,close
