date,category,turnover_millions
1982-04-01,Household goods retailing,653.4
1982-05-01,Household goods retailing,648.7
1982-06-01,Household goods retailing,655.7
1982-07-01,Household goods retailing,660.5
1982-08-01,Household goods retailing,659.8
1982-09-01,Household goods retailing,661.6
1982-10-01,Household goods retailing,649.5
1982-11-01,Household goods retailing,658.1
1982-12-01,Household goods retailing,670.3
1983-01-01,Household goods retailing,703.2
1983-02-01,Household goods retailing,712.4
1983-03-01,Household goods retailing,728.2
1983-04-01,Household goods retailing,722.3
1983-05-01,Household goods retailing,710.0
1983-06-01,Household goods retailing,713.9
1983-07-01,Household goods retailing,706.1
1983-08-01,Household goods retailing,733.8
1983-09-01,Household goods retailing,727.2
1983-10-01,Household goods retailing,739.9
1983-11-01,Household goods retailing,744.2
1983-12-01,Household goods retailing,750.3
1984-01-01,Household goods retailing,771.5
1984-02-01,Household goods retailing,768.7
1984-03-01,Household goods retailing,773.5
1984-04-01,Household goods retailing,734.4
1984-05-01,Household goods retailing,741.7
1984-06-01,Household goods retailing,731.3
1984-07-01,Household goods retailing,763.3
1984-08-01,Household goods retailing,750.3
1984-09-01,Household goods retailing,751.7
1984-10-01,Household goods retailing,762.7
1984-11-01,Household goods retailing,775.7
1984-12-01,Household goods retailing,778.3
1985-01-01,Household goods retailing,764.1
1985-02-01,Household goods retailing,766.4
1985-03-01,Household goods retailing,793.2
1985-04-01,Household goods retailing,813.9
1985-05-01,Household goods retailing,831.3
1985-06-01,Household goods retailing,829.8
1985-07-01,Household goods retailing,834.2
1985-08-01,Household goods retailing,832.4
1985-09-01,Household goods retailing,851.6
1985-10-01,Household goods retailing,864.4
1985-11-01,Household goods retailing,890.5
1985-12-01,Household goods retailing,895.3
1986-01-01,Household goods retailing,870.5
1986-02-01,Household goods retailing,874.8
1986-03-01,Household goods retailing,862.4
1986-04-01,Household goods retailing,897.9
1986-05-01,Household goods retailing,918.2
1986-06-01,Household goods retailing,922.9
1986-07-01,Household goods retailing,907.5
1986-08-01,Household goods retailing,945.8
1986-09-01,Household goods retailing,918.0
1986-10-01,Household goods retailing,918.4
1986-11-01,Household goods retailing,920.1
1986-12-01,Household goods retailing,917.2
1987-01-01,Household goods retailing,928.9
1987-02-01,Household goods retailing,930.8
1987-03-01,Household goods retailing,939.2
1987-04-01,Household goods retailing,936.9
1987-05-01,Household goods retailing,945.1
1987-06-01,Household goods retailing,951.4
1987-07-01,Household goods retailing,976.6
1987-08-01,Household goods retailing,998.6
1987-09-01,Household goods retailing,1008.0
1987-10-01,Household goods retailing,1032.5
1987-11-01,Household goods retailing,1030.8
1987-12-01,Household goods retailing,1032.7
1988-01-01,Household goods retailing,1032.4
1988-02-01,Household goods retailing,1065.6
1988-03-01,Household goods retailing,1071.4
1988-04-01,Household goods retailing,1062.2
1988-05-01,Household goods retailing,1102.0
1988-06-01,Household goods retailing,1110.4
1988-07-01,Household goods retailing,1100.3
1988-08-01,Household goods retailing,1103.5
1988-09-01,Household goods retailing,1083.6
1988-10-01,Household goods retailing,1099.2
1988-11-01,Household goods retailing,1124.2
1988-12-01,Household goods retailing,1155.4
1989-01-01,Household goods retailing,1197.5
1989-02-01,Household goods retailing,1161.6
1989-03-01,Household goods retailing,1177.0
1989-04-01,Household goods retailing,1199.9
1989-05-01,Household goods retailing,1203.3
1989-06-01,Household goods retailing,1205.1
1989-07-01,Household goods retailing,1201.8
1989-08-01,Household goods retailing,1191.0
1989-09-01,Household goods retailing,1227.6
1989-10-01,Household goods retailing,1222.7
1989-11-01,Household goods retailing,1252.8
1989-12-01,Household goods retailing,1208.0
1990-01-01,Household goods retailing,1192.5
1990-02-01,Household goods retailing,1191.9
1990-03-01,Household goods retailing,1195.0
1990-04-01,Household goods retailing,1210.8
1990-05-01,Household goods retailing,1214.0
1990-06-01,Household goods retailing,1214.3
1990-07-01,Household goods retailing,1197.4
1990-08-01,Household goods retailing,1200.5
1990-09-01,Household goods retailing,1196.2
1990-10-01,Household goods retailing,1179.9
1990-11-01,Household goods retailing,1186.4
1990-12-01,Household goods retailing,1195.1
1991-01-01,Household goods retailing,1204.8
1991-02-01,Household goods retailing,1241.7
1991-03-01,Household goods retailing,1219.9
1991-04-01,Household goods retailing,1222.0
1991-05-01,Household goods retailing,1198.3
1991-06-01,Household goods retailing,1200.7
1991-07-01,Household goods retailing,1246.1
1991-08-01,Household goods retailing,1263.5
1991-09-01,Household goods retailing,1241.7
1991-10-01,Household goods retailing,1270.8
1991-11-01,Household goods retailing,1252.2
1991-12-01,Household goods retailing,1215.9
1992-01-01,Household goods retailing,1239.2
1992-02-01,Household goods retailing,1251.9
1992-03-01,Household goods retailing,1273.4
1992-04-01,Household goods retailing,1302.5
1992-05-01,Household goods retailing,1267.1
1992-06-01,Household goods retailing,1263.2
1992-07-01,Household goods retailing,1293.6
1992-08-01,Household goods retailing,1265.7
1992-09-01,Household goods retailing,1301.6
1992-10-01,Household goods retailing,1334.8
1992-11-01,Household goods retailing,1324.1
1992-12-01,Household goods retailing,1307.8
1993-01-01,Household goods retailing,1363.3
1993-02-01,Household goods retailing,1345.8
1993-03-01,Household goods retailing,1383.2
1993-04-01,Household goods retailing,1375.6
1993-05-01,Household goods retailing,1376.5
1993-06-01,Household goods retailing,1364.4
1993-07-01,Household goods retailing,1376.6
1993-08-01,Household goods retailing,1377.6
1993-09-01,Household goods retailing,1406.4
1993-10-01,Household goods retailing,1421.4
1993-11-01,Household goods retailing,1447.2
1993-12-01,Household goods retailing,1443.5
1994-01-01,Household goods retailing,1449.5
1994-02-01,Household goods retailing,1497.1
1994-03-01,Household goods retailing,1464.6
1994-04-01,Household goods retailing,1475.0
1994-05-01,Household goods retailing,1497.9
1994-06-01,Household goods retailing,1504.8
1994-07-01,Household goods retailing,1485.7
1994-08-01,Household goods retailing,1551.1
1994-09-01,Household goods retailing,1515.4
1994-10-01,Household goods retailing,1503.2
1994-11-01,Household goods retailing,1521.9
1994-12-01,Household goods retailing,1501.3
1995-01-01,Household goods retailing,1535.8
1995-02-01,Household goods retailing,1552.9
1995-03-01,Household goods retailing,1562.2
1995-04-01,Household goods retailing,1581.7
1995-05-01,Household goods retailing,1595.7
1995-06-01,Household goods retailing,1646.7
1995-07-01,Household goods retailing,1614.6
1995-08-01,Household goods retailing,1606.2
1995-09-01,Household goods retailing,1633.7
1995-10-01,Household goods retailing,1616.2
1995-11-01,Household goods retailing,1606.4
1995-12-01,Household goods retailing,1639.6
1996-01-01,Household goods retailing,1616.0
1996-02-01,Household goods retailing,1621.8
1996-03-01,Household goods retailing,1643.2
1996-04-01,Household goods retailing,1645.8
1996-05-01,Household goods retailing,1655.6
1996-06-01,Household goods retailing,1693.0
1996-07-01,Household goods retailing,1735.1
1996-08-01,Household goods retailing,1717.5
1996-09-01,Household goods retailing,1666.0
1996-10-01,Household goods retailing,1705.6
1996-11-01,Household goods retailing,1701.9
1996-12-01,Household goods retailing,1717.3
1997-01-01,Household goods retailing,1699.8
1997-02-01,Household goods retailing,1782.6
1997-03-01,Household goods retailing,1739.0
1997-04-01,Household goods retailing,1709.3
1997-05-01,Household goods retailing,1742.7
1997-06-01,Household goods retailing,1736.2
1997-07-01,Household goods retailing,1736.3
1997-08-01,Household goods retailing,1732.5
1997-09-01,Household goods retailing,1739.9
1997-10-01,Household goods retailing,1755.0
1997-11-01,Household goods retailing,1777.1
1997-12-01,Household goods retailing,1790.7
1998-01-01,Household goods retailing,1742.6
1998-02-01,Household goods retailing,1730.5
1998-03-01,Household goods retailing,1739.5
1998-04-01,Household goods retailing,1747.1
1998-05-01,Household goods retailing,1726.8
1998-06-01,Household goods retailing,1726.7
1998-07-01,Household goods retailing,1717.7
1998-08-01,Household goods retailing,1730.1
1998-09-01,Household goods retailing,1733.5
1998-10-01,Household goods retailing,1735.5
1998-11-01,Household goods retailing,1705.9
1998-12-01,Household goods retailing,1739.6
1999-01-01,Household goods retailing,1798.1
1999-02-01,Household goods retailing,1805.0
1999-03-01,Household goods retailing,1780.8
1999-04-01,Household goods retailing,1844.7
1999-05-01,Household goods retailing,1843.5
1999-06-01,Household goods retailing,1836.5
1999-07-01,Household goods retailing,1849.5
1999-08-01,Household goods retailing,1899.0
1999-09-01,Household goods retailing,1946.1
1999-10-01,Household goods retailing,1950.8
1999-11-01,Household goods retailing,1933.8
1999-12-01,Household goods retailing,1917.1
2000-01-01,Household goods retailing,1966.2
2000-02-01,Household goods retailing,1977.1
2000-03-01,Household goods retailing,1987.1
2000-04-01,Household goods retailing,1957.2
2000-05-01,Household goods retailing,2058.6
2000-06-01,Household goods retailing,2393.9
2000-07-01,Household goods retailing,1946.7
2000-08-01,Household goods retailing,2062.9
2000-09-01,Household goods retailing,2063.4
2000-10-01,Household goods retailing,2051.9
2000-11-01,Household goods retailing,2095.2
2000-12-01,Household goods retailing,2103.0
2001-01-01,Household goods retailing,2112.9
2001-02-01,Household goods retailing,2140.6
2001-03-01,Household goods retailing,2148.6
2001-04-01,Household goods retailing,2188.4
2001-05-01,Household goods retailing,2202.2
2001-06-01,Household goods retailing,2263.8
2001-07-01,Household goods retailing,2280.6
2001-08-01,Household goods retailing,2293.2
2001-09-01,Household goods retailing,2273.4
2001-10-01,Household goods retailing,2330.2
2001-11-01,Household goods retailing,2349.3
2001-12-01,Household goods retailing,2388.7
2002-01-01,Household goods retailing,2454.1
2002-02-01,Household goods retailing,2416.1
2002-03-01,Household goods retailing,2445.8
2002-04-01,Household goods retailing,2525.0
2002-05-01,Household goods retailing,2568.5
2002-06-01,Household goods retailing,2566.8
2002-07-01,Household goods retailing,2521.0
2002-08-01,Household goods retailing,2546.3
2002-09-01,Household goods retailing,2547.0
2002-10-01,Household goods retailing,2544.1
2002-11-01,Household goods retailing,2575.9
2002-12-01,Household goods retailing,2569.8
2003-01-01,Household goods retailing,2534.2
2003-02-01,Household goods retailing,2546.2
2003-03-01,Household goods retailing,2574.9
2003-04-01,Household goods retailing,2606.8
