year,category,online_spend_billion,source_value_type
2024,"Books, stationery & multimedia",2.01,estimated from 2025 spend and YoY growth
2025,"Books, stationery & multimedia",2.5,reported in Australia Post eCommerce Report 2026
2024,Health & beauty,3.3,estimated from 2025 spend and YoY growth
2025,Health & beauty,3.8,reported in Australia Post eCommerce Report 2026
2024,Department stores,3.6,estimated from 2025 spend and YoY growth
2025,Department stores,4.3,reported in Australia Post eCommerce Report 2026
2024,Hobbies & recreation goods,4.27,estimated from 2025 spend and YoY growth
2025,Hobbies & recreation goods,5.0,reported in Australia Post eCommerce Report 2026
2024,Consumer electronics,7.93,estimated from 2025 spend and YoY growth
2025,Consumer electronics,9.2,reported in Australia Post eCommerce Report 2026
2024,Home & garden,10.32,estimated from 2025 spend and YoY growth
2025,Home & garden,11.4,reported in Australia Post eCommerce Report 2026
2024,Fashion & apparel,10.4,estimated from 2025 spend and YoY growth
2025,Fashion & apparel,11.6,reported in Australia Post eCommerce Report 2026
2024,Food & liquor,14.04,estimated from 2025 spend and YoY growth
2025,Food & liquor,16.0,reported in Australia Post eCommerce Report 2026
2024,Online marketplaces,16.73,estimated from 2025 spend and YoY growth
2025,Online marketplaces,18.9,reported in Australia Post eCommerce Report 2026
