generation,metric,value
Gen Z,Online spend 2024 ($b),11.9
Gen Z,YoY growth in online spend (%),5.5
Gen Z,Share of online spend (%),17.3
Millennials,Online spend 2024 ($b),24.9
Millennials,YoY growth in online spend (%),10.6
Millennials,Share of online spend (%),36.1
Gen X,Online spend 2024 ($b),19.2
Gen X,YoY growth in online spend (%),14.0
Gen X,Share of online spend (%),27.9
Baby Boomers,Online spend 2024 ($b),10.1
Baby Boomers,YoY growth in online spend (%),17.6
Baby Boomers,Share of online spend (%),14.7
Builders,Online spend 2024 ($b),2.7
Builders,YoY growth in online spend (%),22.9
Builders,Share of online spend (%),4.0
